track_name,artist_name,spotify_id,isrc,features,recco_id,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Professional,The Weeknd,5ZicFGBDAi9J2YCVesboUp,USUM71310341,,c9ea3a2d-dc6a-4462-9aa6-56ff93f3b60b,c9ea3a2d-dc6a-4462-9aa6-56ff93f3b60b,https://open.spotify.com/track/5ZicFGBDAi9J2YCVesboUp,USUM71310341,0.163,0.405,0.619,0.000322,11.0,0.0788,-8.92,0.0,0.0618,120.087,0.234
Vampiro,Matuê,6bTdZ7xfKp3NqqADJ8HLyj,BXW922100034,,8492861c-06b0-44aa-a991-ebeb3d1ef53e,8492861c-06b0-44aa-a991-ebeb3d1ef53e,https://open.spotify.com/track/6bTdZ7xfKp3NqqADJ8HLyj,BXW922100034,0.0136,0.782,0.643,0.0,8.0,0.0654,-4.956,0.0,0.0438,114.994,0.627
Heartbeat,Childish Gambino,5AGQSF0ytihJyt96K5vW9d,USYAH1100351,,18f5a77a-bdf4-4a11-a3f4-3e4b570cb814,18f5a77a-bdf4-4a11-a3f4-3e4b570cb814,https://open.spotify.com/track/5AGQSF0ytihJyt96K5vW9d,USYAH1100351,0.00373,0.8,0.545,0.000511,1.0,0.0445,-7.002,0.0,0.127,119.959,0.291
When I’m Home,James Blake,5nigMKgXqeNvaiqEBWwo9s,USQ4E2600373,,,,,,,,,,,,,,,,
Both (feat. Drake),Gucci Mane,5tFep7dXGd7vEJ668wTPux,USAT21603373,,f8186f9d-cdac-44f0-86bf-aa18ca19a753,f8186f9d-cdac-44f0-86bf-aa18ca19a753,https://open.spotify.com/track/0iQXqF8CYMI7mLNYQGPqQr,USAT21603373,0.119,0.849,0.405,0.000118,7.0,0.0707,-7.509,0.0,0.226,139.976,0.344
Stay Ready (What a Life),Jhené Aiko,5nkUIVKqOqdpB6ApKgEMkv,USUM71312344,,f1920772-e80a-488b-833c-04b4f2956535,f1920772-e80a-488b-833c-04b4f2956535,https://open.spotify.com/track/5nkUIVKqOqdpB6ApKgEMkv,USUM71312344,0.455,0.347,0.493,0.00366,8.0,0.127,-11.548,0.0,0.29,82.887,0.308
Jungle,Drake,7JXZq0JgG2zTrSOAgY8VMC,USCM51500037,"{'data': {'isrc': 'USCM51500037', 'title': 'Jungle', 'artist': 'Drake', 'features': {'bpm': 99.9, 'key': 'G', 'key_confidence': 0.8082623, 'energy': 0.7131235, 'danceability': 0.4471175, 'valence': None, 'acousticness': None, 'loudness': -10.9, 'instrumentalness': None, 'speechiness': 0.4068, 'liveness': None, 'time_signature': 4}, 'analysis_version': '1.2', 'source': 'essentia'}, 'meta': {'quota': {'used': 0, 'limit': None, 'resets_at': '2026-09-13T14:05:30.949Z'}, 'request_id': 'req_c02296b66a06'}}",f30a1ce4-7adb-4ca7-bdc7-9f70110f90d1,f30a1ce4-7adb-4ca7-bdc7-9f70110f90d1,https://open.spotify.com/track/0mnABjjVAEmnSsoqzAX9E1,USCM51500038,0.618,0.685,0.226,0.000229,7.0,0.107,-8.694,1.0,0.0466,99.786,0.418
Novacane,Frank Ocean,4osgfFTICMkcGbbigdsa53,USUM71107257,,65c51efa-45e3-415c-b770-c7f4a2f45866,e52ef438-7cf1-47ac-bb60-f800b52ea3d6,https://open.spotify.com/track/53qYItjefG5SUf62428dIw,USUM72111952,0.129,0.654,0.383,0.000755,3.0,0.103,-9.875,0.0,0.0363,139.95,0.268
The Zone,The Weeknd,53qYItjefG5SUf62428dIw,USUM72111952,,e52ef438-7cf1-47ac-bb60-f800b52ea3d6,,,,,,,,,,,,,,
Lose You,Drake,2Na0z2gfN67Rzf0vp74Wi3,USCM51700071,,,,,,,,,,,,,,,,
,,,,,,65c51efa-45e3-415c-b770-c7f4a2f45866,https://open.spotify.com/track/4osgfFTICMkcGbbigdsa53,USUM71107257,0.0584,0.762,0.508,0.00126,3.0,0.16,-9.112,1.0,0.0919,93.51,0.37
