album_mbid,album_name,artist_name,spotify_album_id,spotify_album_type,spotify_total_tracks,spotify_release_date,spotify_release_date_precision,spotify_album_url
36e548ac-d5ed-4d9a-aec8-e611bc34249b,Dreams Worth More Than Money,Meek Mill,2O3OKOYCub892PUGprsaQo,album,14.0,2015-06-29,day,https://open.spotify.com/album/2O3OKOYCub892PUGprsaQo
,Echoes Of Silence (Original),The Weeknd,04hy4jb1GDD00otiwzsFUB,album,9.0,2011-12-21,day,https://open.spotify.com/album/04hy4jb1GDD00otiwzsFUB
32ef7c3f-96bb-44a3-aa4d-7aa8c9640cf9,2014 Forest Hills Drive,J. Cole,0UMMIkurRUmkruZ3KGBLtG,album,13.0,2014-12-09,day,https://open.spotify.com/album/0UMMIkurRUmkruZ3KGBLtG
,Excuse My French (Deluxe),French Montana,2Af2xpOLk0VzzJqmqtAW8T,album,18.0,2013-01-01,day,https://open.spotify.com/album/2Af2xpOLk0VzzJqmqtAW8T
,Kiss Land (Deluxe),Kavinsky,,,,,,
1aad3933-6f4a-48fc-93b7-6a269d42e37c,Revenge of the Dreamers II,J. Cole,,,,,,
2ac33cc2-a2e3-4275-8afd-fb01cf016465,White Pony,Deftones,5LEXck3kfixFaA3CqVE7bC,album,12.0,2000,year,https://open.spotify.com/album/5LEXck3kfixFaA3CqVE7bC
03f03619-385a-4ed9-9974-cdcdf6404cf5,The Life of Pablo,Kanye West,7gsWAHLeT0w7es6FofOXk1,album,20.0,2016-06-10,day,https://open.spotify.com/album/7gsWAHLeT0w7es6FofOXk1
43869ac5-c515-41a4-8ce1-d4a0c67e30c1,HIT ME HARD AND SOFT,Billie Eilish,7aJuG4TFXa2hmE4z1yxc3n,album,10.0,2024-05-17,day,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n
,Born Sinner (Deluxe Version),J. Cole,5FP9keIJnlSCKnkdVOf623,album,21.0,2013-06-18,day,https://open.spotify.com/album/5FP9keIJnlSCKnkdVOf623
