artist_mbid,artist_name,artist_key
,Drake,drake
875203e1-8e58-4b86-8dcb-7190faf411c5,J. Cole,j. cole
,Jan Blomqvist,jan blomqvist
e4f12dfc-1ee7-4250-8e24-549b6d46676d,Ben Böhmer,ben böhmer
13c58530-0d1a-40de-b9b4-00743ad246f6,Xinobi,xinobi
45dc5f07-6609-4760-a933-8c9e0f858d05,French Montana,french montana
c8b03190-306c-4120-bb0b-6f2ebfc06ea9,The Weeknd,the weeknd
e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,Travis Scott,travis scott
20634ec0-4bdb-47dc-9bf4-07ed76f8154a,Montell Fish,montell fish
7fb57fba-a6ef-44c2-abab-2fa3bdee607e,Childish Gambino,childish gambino
a74b1b7f-71a5-4011-9441-d0b5e4122711,Radiohead,radiohead
29b550f2-04a3-4733-b6f5-4e347fac7e11,Charlie Brown Jr.,charlie brown jr.
,Coldplay,coldplay
eb6de5f6-98f8-4b5a-bfdc-f87fa4936baa,Kavinsky,kavinsky
f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,billie eilish
,Dave,dave
,Adele,adele
,Kanye West,kanye west
67930b3e-e00b-469f-8c74-fd69f20522ec,Sade,sade
7527f6c2-d762-4b88-b5e2-9244f1e34c46,Deftones,deftones
1cfa6ee5-1189-4ade-97db-8f20a6ba5c76,RÜFÜS DU SOL,rüfüs du sol
14776bf4-1e83-4cd9-b485-5e374d05e19a,KVSH,kvsh
be42aaaa-9703-41dc-b2eb-de03e30f83b9,Matuê,matuê
8dc08b1f-e393-4f85-a5dd-300f7693a8b8,James Blake,james blake
e14075cd-abdc-4815-9a19-78263f8fc35a,Iyeoka,iyeoka
d5be5333-4171-427e-8e12-732087c6b78e,Black Eyed Peas,black eyed peas
29e686ca-134e-46d5-8a5b-7193f618ff35,Sonder,sonder
b7539c32-53e7-4908-bda3-81449c367da6,Lana Del Rey,lana del rey
,Pitbull,pitbull
285e1285-aecc-478f-a8da-0c8cf69e1217,Miguel,miguel
b95ce3ff-3d05-4e87-9e01-c97b66af13d4,Eminem,eminem
e0140a67-e4d1-4f13-8a01-364355bee46e,Justin Bieber,justin bieber
36494952-f434-45d8-a958-8b4acdbcf8a8,Gucci Mane,gucci mane
f23ef341-33bd-47c1-b83c-846a78581f05,PARTYNEXTDOOR,partynextdoor
5b2a8faa-ffee-4706-a1a8-58f109bc8ca2,Tems,tems
4c7a5854-6b75-4623-a684-6a3d785d9015,Estelle,estelle
e520459c-dff4-491d-a6e4-c97be35e0044,Frank Ocean,frank ocean
ceb3f5b7-9f1a-430f-afbe-976fdcf30482,Jhené Aiko,jhené aiko
59db3d82-86ea-451f-881f-dffc8ec387c9,Metro Boomin,metro boomin
07832b42-8826-4ab1-acd3-c49a2f595ffe,6LACK,6lack
f181961b-20f7-459e-89de-920ef03c7ed0,The Strokes,the strokes
,Diddy,diddy
5df62a88-cac9-490a-b62c-c7c88f4020f4,Doja Cat,doja cat
13bcb2bb-db37-4397-baf5-e0f085be2d64,Rick Ross,rick ross
cc3e537d-ff34-423f-8cd6-635a80f4dba7,Gesaffelstein,gesaffelstein
44cf61b8-5197-448a-b82b-cef6ee89fac5,Paramore,paramore
0aeea1ef-8d96-4556-8c4a-84b88ae271bb,Yebba,yebba
,VisionV,visionv
8ffb6b8e-3933-4f93-b315-8f5293b1b350,Benny the Butcher,benny the butcher
77a678b8-b848-4c08-bbff-f838aea3ad1f,Howling,howling
cf15719f-51f9-4db8-a15d-5eed9664ce69,Lupe Fiasco,lupe fiasco
b3adc16a-abdb-4668-9b05-baabbf942db6,Tash Sultana,tash sultana
4f4bda3c-d636-4135-b65a-6cc26bc75788,Kosheen,kosheen
,Trilucid,trilucid
,Alicia Keys,alicia keys
,Jeff Buckley,jeff buckley
dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,Amy Winehouse,amy winehouse
ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,Arctic Monkeys,arctic monkeys
99075985-0d80-4692-a15e-b16f78831792,Swedish House Mafia,swedish house mafia
5b8ec72b-9e39-4a06-a2bf-964166b92a71,Tory Lanez,tory lanez
070d3e4b-8559-4fd4-af63-4535ed1f69c9,BUNT.,bunt.
6ffb8ea9-2370-44d8-b678-e9237bbd347b,Kings of Leon,kings of leon
dfe78af2-779e-4137-826a-3073a16e3278,Phantogram,phantogram
5bdeb32d-56a5-4b6d-a768-264101fa0a0a,J Balvin,j balvin
,JHAYCO,jhayco
d18a2838-05fa-4e4e-bbb5-284a4cfb13f5,The Blaze,the blaze
b46e298d-d3a5-4695-a03e-63e8c523b23e,Daniel Caesar,daniel caesar
89aa5ecb-59ad-46f5-b3eb-2d424e941f19,Bad Bunny,bad bunny
8ab64ebd-200e-47af-a3fc-92540e186214,Gigi Perez,gigi perez
7eb1ce54-a355-41f9-8d68-e018b096d427,Harry Styles,harry styles
f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,wiz khalifa
8e68819d-71be-4e7d-b41d-f1df81b01d3f,50 Cent,50 cent
636e0fb6-f2ad-45fc-b385-4d994665e7e3,Snoh Aalegra,snoh aalegra
,Sodré,sodré
63b9b3e3-4fe3-45dd-ac38-9fcc2ba47677,Saint Avangeline,saint avangeline
d8fd8d9b-473b-4f06-83c8-869b1bb9de89,Bryson Tiller,bryson tiller
479497d4-e7c2-4e78-972e-56e78fac3995,Chris Isaak,chris isaak
201412c6-7ced-472b-87a9-9259ec3c07d3,Brent Faiyaz,brent faiyaz
e34e41f2-f480-45d3-8190-a3ce5ab34fab,Wale,wale
73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,rihanna
a0e8a1b1-5f8f-475a-a253-17415c17d0ff,Mac Miller,mac miller
80609a00-b394-4a49-975b-2db6b543fa97,The Kid LAROI,the kid laroi
