track_mbid,track_name,artist_name,track_key
96c4a14d-7b15-4cd5-b163-627b39725a33,Too Much,Drake,too much||drake
2b9b7f95-c461-3593-be49-616601db24e2,Too Deep for the Intro,J. Cole,too deep for the intro||j. cole
39310b1b-f3d4-4b65-b552-be2f7c0a8d59,Love Yourz,J. Cole,love yourz||j. cole
,Don’t Matter To Me (with Michael Jackson),Drake,don’t matter to me (with michael jackson)||drake
,Disappear Again,Jan Blomqvist,disappear again||jan blomqvist
028610d3-979f-4fb0-8ffc-54de03a576a7,Lost In Mind,Ben Böhmer,lost in mind||ben böhmer
2a2947f2-a794-4b21-88d2-3a19c83f5fac,Far Away Place - Jody Wisternoff & James Grant Remix,Xinobi,far away place - jody wisternoff & james grant remix||xinobi
,Gifted,French Montana,gifted||french montana
047fc6a5-ff24-4214-bbd8-29646f20135e,Lonely Star,The Weeknd,lonely star||the weeknd
,STOP TRYING TO BE GOD,Travis Scott,stop trying to be god||travis scott
,HOTEL,Montell Fish,hotel||montell fish
17159a98-3f8d-40db-8644-d1064edc3697,3005,Childish Gambino,3005||childish gambino
425bc9d3-653b-4ec3-8594-ad8ea885ebab,Jigsaw Falling Into Place,Radiohead,jigsaw falling into place||radiohead
2201b4c7-fdf4-4405-b67a-9694aea47a5c,Hoje Sou Eu Que Não Mais Te Quero,Charlie Brown Jr.,hoje sou eu que não mais te quero||charlie brown jr.
12fa880e-6268-4bb5-a0d0-16ed0d3b1d5c,Till Dawn (Here Comes the Sun),The Weeknd,till dawn (here comes the sun)||the weeknd
361afdc0-2640-3b95-a1fe-9f59f33be150,Don't Panic,Coldplay,don't panic||coldplay
50bb6ba4-4cca-40a8-b477-e07d02cb0620,Odd Look,Kavinsky,odd look||kavinsky
3b613f14-21d1-4029-8b3c-47f6f819c982,idontwannabeyouanymore,Billie Eilish,idontwannabeyouanymore||billie eilish
,Raindance (feat. Tems),Dave,raindance (feat. tems)||dave
0309071e-e8b6-4263-a68d-c4e4f8c4a988,Lovesong,Adele,lovesong||adele
3263c802-3312-4cf4-ba20-dcd8d2690a69,Twenty Eight,The Weeknd,twenty eight||the weeknd
dea3691c-175e-4e5d-9ccd-35c5136b48a8,Love Lockdown,Kanye West,love lockdown||kanye west
0c33c7c1-4ff1-49ad-8cb9-e03553108478,Trouble,J. Cole,trouble||j. cole
193366fa-8408-419c-aa70-e3ee5ceef046,Lose You,Drake,lose you||drake
17f114cb-e48a-4d93-9870-6a2553735331,Feels Like Summer,Childish Gambino,feels like summer||childish gambino
10790a46-71b4-47c3-b1c3-e44fa41e117c,Like a Tattoo,Sade,like a tattoo||sade
cd92ff5a-9680-4fbf-9b98-ab2bb814713c,Wasted Times,The Weeknd,wasted times||the weeknd
08e080b9-000c-4d17-b678-319adaff1e6e,U With Me?,Drake,u with me?||drake
f7f7850f-210b-4801-b62c-6a497c055421,Beware,Deftones,beware||deftones
bda7bd2a-290f-42b4-bbfb-d39156658209,Always,RÜFÜS DU SOL,always||rüfüs du sol
fd528dab-6c43-4cc5-b44f-5cfc7781330a,Change (In the House of Flies),Deftones,change (in the house of flies)||deftones
,Be Someone,KVSH,be someone||kvsh
c35a02d7-6ffc-4702-a0f8-06db981a3983,333,Matuê,333||matuê
03c49090-02c1-4481-b4ef-e737190fbeb6,Professional,The Weeknd,professional||the weeknd
,When I’m Home,James Blake,when i’m home||james blake
46b3efee-ea9c-466e-b8b3-cf8bea3ef963,Simply Falling,Iyeoka,simply falling||iyeoka
,Meet Me Halfway,Black Eyed Peas,meet me halfway||black eyed peas
4bcb550c-9160-45ed-9cbe-d6771ad96c9d,CHIHIRO,Billie Eilish,chihiro||billie eilish
f7f85d65-bd9d-4821-9d86-cc0d669bda6c,Apparently,J. Cole,apparently||j. cole
,Cameras / Good Ones Go Interlude - Medley,Drake,cameras / good ones go interlude - medley||drake
50acbb51-2ddb-451b-8e6e-acbe1dc9799a,What You Heard,Sonder,what you heard||sonder
ebb59e72-1549-438d-88e9-c27b697f9e90,Snow On Tha Bluff,J. Cole,snow on tha bluff||j. cole
64f84b86-2059-4a01-aab0-c7cd8e9aa341,4 Your Eyez Only,J. Cole,4 your eyez only||j. cole
47d724dd-ef88-4337-951e-a42647c21780,She's Mine Pt. 2,J. Cole,she's mine pt. 2||j. cole
346c038a-1bd5-43f6-9bb5-b6e805e219b2,Foldin Clothes,J. Cole,foldin clothes||j. cole
303a8f69-1196-47e2-82f6-9fcdd09cf09e,Neighbors,J. Cole,neighbors||j. cole
0d32af4f-5493-4f3b-a2ad-f61fa55698e6,Change,J. Cole,change||j. cole
0784f801-2c0d-4b94-aaa0-efdcb77765b0,She's Mine Pt. 1,J. Cole,she's mine pt. 1||j. cole
3ea89063-3e1d-4a5c-8b3e-9076acbabf8b,Deja Vu,J. Cole,deja vu||j. cole
1e32b7b6-0be9-4ee3-a403-d2e374e28e66,For Whom the Bell Tolls,J. Cole,for whom the bell tolls||j. cole
84334baf-fce7-4d7e-a7d1-96892fb310ee,Immortal,J. Cole,immortal||j. cole
1d2200fa-1d38-46de-9112-bf9fab55c437,Wet Dreamz,J. Cole,wet dreamz||j. cole
0d0cead3-822e-4674-a557-1fe3233ca899,Say Yes to Heaven,Lana Del Rey,say yes to heaven||lana del rey
,Summertime Sadness,Lana Del Rey,summertime sadness||lana del rey
d6f7b3d7-7c5b-4f11-ba4c-9eb5c57c2cc6,Video Games,Lana Del Rey,video games||lana del rey
045a5040-80e7-4955-9821-08681e7e950f,Brooklyn Baby,Lana Del Rey,brooklyn baby||lana del rey
,West Coast,Lana Del Rey,west coast||lana del rey
,Born to Die,Lana Del Rey,born to die||lana del rey
,Young and Beautiful,Lana Del Rey,young and beautiful||lana del rey
,National Anthem,Lana Del Rey,national anthem||lana del rey
860ad0f0-d269-4c60-8143-f9c6792aed0c,White Mustang,Lana Del Rey,white mustang||lana del rey
055a3bcd-d262-4434-beac-bdd4c07b6559,Religion,Lana Del Rey,religion||lana del rey
111b16ec-fbe7-45b8-9587-64f6cfef8598,Cinnamon Girl,Lana Del Rey,cinnamon girl||lana del rey
15da3ab6-3246-43de-8831-0c92a04de07c,Time of Our Lives,Pitbull,time of our lives||pitbull
0cd2aecb-6c29-453b-99e5-a63f1a0c0501,The Zone,The Weeknd,the zone||the weeknd
1cb19c6f-c1ca-4342-97b3-f4fc3d77a45d,Redemption,Drake,redemption||drake
,Sky Walker (feat. Travis Scott),Miguel,sky walker (feat. travis scott)||miguel
581ffe21-614a-4394-b42f-5892857a58e5,Superman,Eminem,superman||eminem
287a498f-f565-4eaa-be78-d6ca8eefdab5,Right Here,Justin Bieber,right here||justin bieber
6a4a95f2-c1ef-433c-9918-b6d1bd6e19ed,Wake Up in the Sky,Gucci Mane,wake up in the sky||gucci mane
84fb050a-4fb9-4852-831a-7fe26d239379,Passionfruit,Drake,passionfruit||drake
024c0350-1544-4a37-8dff-6042111cc6ee,DIE TRYING,PARTYNEXTDOOR,die trying||partynextdoor
53f7681c-292d-408b-ab9a-14d862b32a61,Me & U,Tems,me & u||tems
7fd6bbef-a0fe-3469-8720-6e2b22f83d65,American Boy,Estelle,american boy||estelle
1179a0f5-9874-4865-9e03-0740e7d04893,Janice STFU,Drake,janice stfu||drake
4cdcf557-237c-42cf-a605-afca46b0cdf4,One Dance,Drake,one dance||drake
6cf3c4d4-c2c2-3d38-adb1-a66c70636864,Novacane,Frank Ocean,novacane||frank ocean
75014721-cc83-4594-b3d2-9cb33a246f14,Stay Ready (What a Life),Jhené Aiko,stay ready (what a life)||jhené aiko
f5f8f118-f28d-4e03-ac92-cd0f7efb9cc0,Overdue (with Travis Scott),Metro Boomin,overdue (with travis scott)||metro boomin
1e8811bf-8fa9-4bd0-808c-92bd54c20d47,Photograph,J. Cole,photograph||j. cole
,Pretty Little Fears (feat. J. Cole),6LACK,pretty little fears (feat. j. cole)||6lack
11b58182-f502-3b74-9357-6b34e8e5e656,Wicked Games,The Weeknd,wicked games||the weeknd
bb5cb487-a780-38f0-b69b-14ed7a652cd0,L.E.S.,Childish Gambino,l.e.s.||childish gambino
04fbea82-441b-3208-a015-a270314a2602,"Call It Fate, Call It Karma",The Strokes,"call it fate, call it karma||the strokes"
,All I Want Is You (feat. J. Cole),Miguel,all i want is you (feat. j. cole)||miguel
,Trance (with Travis Scott & Young Thug),Metro Boomin,trance (with travis scott & young thug)||metro boomin
,Another One of Me (feat. 21 Savage),Diddy,another one of me (feat. 21 savage)||diddy
0261ce77-d8a0-4b24-9a4d-6f544d3f1f13,Been Like This,Doja Cat,been like this||doja cat
4490f266-b8ae-437f-ac1a-2e21509b203b,Niggaz Know,J. Cole,niggaz know||j. cole
16e5789a-dd94-475e-92c8-7e8dc9ae9d6d,Next,The Weeknd,next||the weeknd
,In Vein,Rick Ross,in vein||rick ross
,Lost in the Fire (feat. The Weeknd),Gesaffelstein,lost in the fire (feat. the weeknd)||gesaffelstein
399eec4d-ca58-4164-94e7-35f3f3ec7f86,King of the Fall,The Weeknd,king of the fall||the weeknd
f67c6795-a650-486e-80c8-9402e0f9754c,The Fall-Off is Inevitable,J. Cole,the fall-off is inevitable||j. cole
03c9b6e1-46cb-3860-8389-d871fe7603ce,Pyramids,Frank Ocean,pyramids||frank ocean
,Only 1 (Interlude) (with Travis Scott),Metro Boomin,only 1 (interlude) (with travis scott)||metro boomin
,F*****g Fans,Drake,f*****g fans||drake
0352e16b-206b-38ed-847d-9e910ed7b6c0,Spies,Coldplay,spies||coldplay
ad2ad0c5-3cca-40d9-b1a5-182588339920,Decode,Paramore,decode||paramore
2fe8a364-5584-4854-90f0-a17a55f5e59a,Sure Thing,Miguel,sure thing||miguel
,Far Away (feat. A$AP Rocky),Yebba,far away (feat. a$ap rocky)||yebba
,Lonely,VisionV,lonely||visionv
be86feb1-e0c3-4bed-ba52-0cda476f79a7,After Hours,The Weeknd,after hours||the weeknd
,Johnny P's Caddy,Benny the Butcher,johnny p's caddy||benny the butcher
5afa33bb-83f6-42c6-b789-8bfa34c48b50,WILDFLOWER,Billie Eilish,wildflower||billie eilish
,Need You Now - Adriatique Remix,Howling,need you now - adriatique remix||howling
1641eebe-eae3-3c9d-a208-53dfd6066af4,High for This,The Weeknd,high for this||the weeknd
224db51c-8a44-4b05-8674-2f87e8e3dc9f,Fire & Desire,Drake,fire & desire||drake
,Superstar (feat. Matthew Santos),Lupe Fiasco,superstar (feat. matthew santos)||lupe fiasco
,Vampiro,Matuê,vampiro||matuê
0d305f38-4094-4c98-a6ef-455e126edb6d,Heartbeat,Childish Gambino,heartbeat||childish gambino
,Both (feat. Drake),Gucci Mane,both (feat. drake)||gucci mane
256ba86c-042d-4e89-bead-b87d7f633b47,Jungle,Drake,jungle||drake
03ae397f-0556-45aa-88c2-60dad4f014b0,Jungle,Tash Sultana,jungle||tash sultana
,Hide U (Tinlicker Remix),Kosheen,hide u (tinlicker remix)||kosheen
703d59cc-8008-4220-99da-43f32185a944,Pretty When You Cry,Lana Del Rey,pretty when you cry||lana del rey
10b9d070-f8b2-3491-b0a8-5dbdd1bae147,Crew Love,Drake,crew love||drake
3f111917-ccbd-43fd-bca1-bdd6379ad175,THANK GOD,Travis Scott,thank god||travis scott
,Cheyenne,Trilucid,cheyenne||trilucid
,Un-thinkable (I'm Ready) (feat. Drake) - Remix,Alicia Keys,un-thinkable (i'm ready) (feat. drake) - remix||alicia keys
34854dca-e909-4271-8bb1-00f2cf5a4d53,Xerces,Deftones,xerces||deftones
,Mile High (feat. Travis Scott & Metro Boomin),James Blake,mile high (feat. travis scott & metro boomin)||james blake
,"Lover, You Should've Come Over - Live at Sin-é, New York, NY - July/August 1993",Jeff Buckley,"lover, you should've come over - live at sin-é, new york, ny - july/august 1993||jeff buckley"
a44f430b-d6e8-4991-a8cd-c8d20150970b,Rehab,Amy Winehouse,rehab||amy winehouse
56484133-2165-4e1c-a5df-f701504b33a0,Back to Black,Amy Winehouse,back to black||amy winehouse
70922304-149d-3b98-bb75-683559d094f0,Set Fire to the Rain,Adele,set fire to the rain||adele
,Rolling in the Deep,Adele,rolling in the deep||adele
80eb7ab0-9a19-3958-87af-b857f99b2411,Someone Like You,Adele,someone like you||adele
ccb951a5-f5a0-40d4-a4eb-3ca035b6df07,Love in the Dark,Adele,love in the dark||adele
d366aee5-f9a6-4702-903f-4836227298a7,505,Arctic Monkeys,505||arctic monkeys
941fe227-d325-4dc8-b06d-c5c0ca05876f,Stargirl Interlude,The Weeknd,stargirl interlude||the weeknd
,Moth to a Flame (with The Weeknd),Swedish House Mafia,moth to a flame (with the weeknd)||swedish house mafia
e9a747f0-3008-43ef-8261-67918beeaf66,And This is Just The Intro,Tory Lanez,and this is just the intro||tory lanez
,Clouds,BUNT.,clouds||bunt.
22d49305-4e35-4a69-8638-05ac5f734065,Sparks,Coldplay,sparks||coldplay
