track_mbid,track_name,artist_name,album_name,spotify_isrc,recco_track_id,spotify_required,reccobeats_required,spotify_api_response,reccobeats_api_response
9b8957a2-d9de-4b87-bac4-34faa228c55a,No Friends in the Industry,Drake,Certified Lover Boy,USUG12104408,,False,True,,"{'search': {'content': [], 'page': 0, 'size': 25, 'totalElements': 0, 'totalPages': 0}, 'audio_features': None}"
157a7648-b84b-4093-b7d8-1003fbbb6482,Real Friends,Kanye West,The Life of Pablo,USUM71603081,,False,True,,"{'search': {'content': [], 'page': 0, 'size': 25, 'totalElements': 0, 'totalPages': 0}, 'audio_features': None}"
,Vamos Beber (Joga o Copo Pro Alto),Dennis,Vamos Beber (Joga o Copo Pro Alto) - Single,BRT301400011,,False,True,,"{'search': {'content': [], 'page': 0, 'size': 25, 'totalElements': 0, 'totalPages': 0}, 'audio_features': None}"
,do i ever cross your mind,sombr,do i ever cross your mind,USWB12403822,,False,True,,"{'search': {'content': [], 'page': 0, 'size': 25, 'totalElements': 0, 'totalPages': 0}, 'audio_features': None}"
,M4,Teto,M4,BXW922000017,,False,True,,"{'search': None, 'audio_features': None}"
,Fragrância - Remix (feat. PL Quest),MD Chefe,Atg Tape,,4aac89ba-cf94-43c7-b04d-1a88327b4c97,True,False,,"{'search': None, 'audio_features': None}"
,Make Me Proud,Drake,Take Care (Deluxe),USCM51100505,,False,True,,"{'search': {'content': [], 'page': 0, 'size': 25, 'totalElements': 0, 'totalPages': 0}, 'audio_features': None}"
,Don’t Matter To Me (with Michael Jackson),Drake,Scorpion,USCM51800208,,False,True,,"{'search': {'content': [], 'page': 0, 'size': 25, 'totalElements': 0, 'totalPages': 0}, 'audio_features': None}"
0ab188d9-dbc6-4caf-8eda-84059fdc1886,Timeless (with Playboi Carti),The Weeknd,Timeless,,f26f8c51-fdb2-4266-a7a5-a6afb356bc29,True,False,,"{'search': None, 'audio_features': None}"
3745bf20-90c9-47b4-877a-92cbd3464cb9,John Redcorn,SiR,Chasing Summer,USRC11902342,,False,True,,"{'search': {'content': [], 'page': 0, 'size': 25, 'totalElements': 0, 'totalPages': 0}, 'audio_features': None}"
