iter	Passed	Remaining
0	58	29074
1	123	30662
2	167	27689
3	222	27626
4	294	29148
5	378	31140
6	439	30967
7	512	31525
8	605	33024
9	649	31811
10	750	33359
11	832	33868
12	894	33497
13	942	32701
14	1003	32449
15	1086	32877
16	1156	32865
17	1291	34584
18	1401	35468
19	1469	35277
20	1544	35219
21	1609	34970
22	1660	34430
23	1710	33922
24	1768	33593
25	1897	34594
26	1998	35003
27	2090	35235
28	2150	34920
29	2217	34738
30	2325	35188
31	2414	35311
32	2454	34728
33	2506	34356
34	2588	34386
35	2666	34374
36	2735	34226
37	2779	33789
38	2823	33375
39	2865	32954
40	2901	32486
41	2951	32184
42	2999	31880
43	3048	31595
44	3106	31405
45	3167	31257
46	3203	30879
47	3241	30522
48	3287	30259
49	3330	29975
50	3367	29643
51	3405	29336
52	3465	29225
53	3520	29074
54	3630	29376
55	3699	29334
56	3763	29248
57	3860	29420
58	3944	29486
59	3989	29255
60	4039	29068
61	4090	28897
62	4132	28663
63	4198	28601
64	4268	28563
65	4355	28640
66	4426	28608
67	4495	28558
68	4612	28811
69	4699	28870
70	4766	28801
71	4841	28777
72	4923	28798
73	4975	28641
74	5035	28534
75	5093	28413
76	5137	28223
77	5202	28144
78	5290	28193
79	5350	28092
80	5422	28050
81	5501	28042
82	5593	28101
83	5666	28062
84	5712	27889
85	5752	27690
86	5791	27493
87	5842	27352
88	5885	27176
89	5925	26992
90	5967	26821
91	6028	26736
92	6092	26663
93	6166	26634
94	6229	26558
95	6311	26559
96	6393	26560
97	6457	26490
98	6524	26428
99	6565	26263
100	6612	26121
101	6661	25994
102	6722	25909
103	6775	25799
104	6822	25666
105	6873	25548
106	6910	25381
107	6949	25223
108	7016	25167
109	7064	25047
110	7112	24925
111	7174	24855
112	7219	24726
113	7272	24625
114	7381	24712
115	7446	24649
116	7497	24542
117	7560	24474
118	7685	24605
119	7774	24617
120	7817	24487
121	7889	24443
122	7966	24417
123	8010	24291
124	8051	24154
125	8102	24049
126	8166	23986
127	8255	23991
128	8326	23948
129	8399	23907
130	8473	23868
131	8541	23811
132	8656	23886
133	8717	23810
134	8803	23801
135	8906	23837
136	8972	23773
137	9007	23629
138	9027	23444
139	9065	23310
140	9109	23192
141	9150	23070
142	9202	22973
143	9283	22951
144	9383	22974
145	9432	22869
146	9485	22776
147	9541	22693
148	9590	22591
149	9657	22533
150	9705	22433
151	9763	22353
152	9814	22258
153	9863	22161
154	9913	22065
155	9957	21956
156	9997	21840
157	10037	21725
158	10094	21649
159	10147	21564
160	10197	21471
161	10249	21384
162	10295	21286
163	10337	21179
164	10398	21111
165	10471	21069
166	10528	20993
167	10596	20940
168	10661	20881
169	10704	20779
170	10752	20687
171	10793	20583
172	10831	20474
173	10882	20388
174	10944	20324
175	11014	20275
176	11083	20224
177	11129	20132
178	11190	20067
179	11242	19986
180	11284	19887
181	11328	19794
182	11375	19705
183	11441	19650
184	11482	19551
185	11523	19453
186	11567	19360
187	11634	19307
188	11689	19235
189	11744	19161
190	11782	19062
191	11823	18966
192	11876	18891
193	11916	18796
194	11965	18715
195	12046	18684
196	12099	18609
197	12161	18549
198	12222	18488
199	12272	18408
200	12329	18340
201	12389	18277
202	12456	18224
203	12495	18130
204	12532	18035
205	12579	17953
206	12665	17927
207	12764	17918
208	12823	17855
209	12870	17773
210	12913	17687
211	12959	17605
212	13025	17551
213	13074	17473
214	13138	17416
215	13194	17347
216	13237	17263
217	13278	17176
218	13320	17091
219	13358	17001
220	13413	16933
221	13461	16857
222	13544	16823
223	13771	16968
224	13874	16957
225	13950	16913
226	14008	16847
227	14071	16787
228	14150	16745
229	14236	16712
230	14286	16636
231	14327	16551
232	14371	16468
233	14415	16386
234	14454	16299
235	14492	16211
236	14536	16131
237	14584	16055
238	14632	15978
239	14704	15930
240	14748	15849
241	14784	15762
242	14821	15675
243	14867	15598
244	14907	15516
245	14943	15429
246	14982	15346
247	15019	15261
248	15070	15191
249	15116	15116
250	15157	15036
251	15215	14974
252	15254	14892
253	15291	14810
254	15340	14738
255	15385	14664
256	15422	14582
257	15470	14511
258	15552	14471
259	15671	14466
260	15816	14483
261	15877	14423
262	15951	14374
263	15989	14293
264	16030	14215
265	16070	14136
266	16114	14062
267	16156	13985
268	16222	13930
269	16317	13899
270	16366	13830
271	16411	13756
272	16454	13682
273	16503	13612
274	16549	13540
275	16634	13500
276	16685	13432
277	16735	13364
278	16791	13300
279	16835	13228
280	16876	13153
281	16919	13079
282	16959	13004
283	16998	12928
284	17035	12851
285	17087	12785
286	17134	12716
287	17179	12645
288	17228	12578
289	17268	12504
290	17309	12432
291	17348	12357
292	17385	12282
293	17444	12223
294	17487	12152
295	17530	12081
296	17577	12014
297	17615	11940
298	17666	11876
299	17715	11810
300	17760	11742
301	17807	11675
302	17851	11606
303	17899	11540
304	17948	11475
305	17988	11404
306	18038	11340
307	18079	11270
308	18118	11199
309	18157	11128
310	18197	11059
311	18242	10992
312	18288	10926
313	18342	10865
314	18388	10799
315	18427	10729
316	18464	10659
317	18503	10590
318	18547	10523
319	18587	10455
320	18623	10384
321	18688	10330
322	18768	10284
323	18860	10245
324	19003	10232
325	19141	10216
326	19291	10206
327	19642	10300
328	19890	10338
329	20005	10306
330	20085	10254
331	20154	10198
332	20227	10144
333	20304	10091
334	20403	10049
335	20469	9990
336	20530	9930
337	20589	9868
338	20650	9807
339	20718	9750
340	20783	9690
341	20858	9636
342	20928	9579
343	20983	9515
344	21048	9456
345	21120	9400
346	21187	9341
347	21246	9280
348	21316	9222
349	21387	9165
350	21451	9106
351	21515	9046
352	21575	8984
353	21649	8928
354	21719	8871
355	21774	8807
356	21836	8746
357	21900	8686
358	21973	8630
359	22042	8572
360	22101	8509
361	22159	8447
362	22224	8387
363	22300	8331
364	22383	8278
365	22444	8217
366	22508	8156
367	22588	8102
368	22655	8043
369	22732	7986
370	22790	7924
371	22857	7864
372	22915	7802
373	22976	7740
374	23053	7684
375	23118	7624
376	23178	7562
377	23247	7503
378	23297	7437
379	23362	7377
380	23428	7317
381	23500	7259
382	23574	7201
383	23638	7140
384	23728	7087
385	23776	7022
386	23828	6957
387	23907	6901
388	24009	6850
389	24075	6790
390	24136	6728
391	24291	6692
392	24415	6647
393	24477	6585
394	24535	6522
395	24577	6454
396	24617	6386
397	24655	6318
398	24703	6253
399	24774	6193
400	24821	6127
401	24939	6079
402	25057	6031
403	25120	5969
404	25227	5917
405	25319	5862
406	25536	5835
407	25663	5786
408	25788	5737
409	25855	5675
410	25933	5615
411	25988	5551
412	26045	5486
413	26091	5419
414	26132	5352
415	26179	5286
416	26226	5220
417	26286	5156
418	26330	5090
419	26368	5022
420	26412	4956
421	26460	4890
422	26502	4824
423	26562	4761
424	26600	4694
425	26635	4626
426	26680	4561
427	26734	4497
428	26777	4431
429	26825	4366
430	26878	4303
431	26920	4237
432	26960	4171
433	27001	4106
434	27050	4042
435	27106	3978
436	27157	3915
437	27229	3854
438	27281	3790
439	27342	3728
440	27387	3664
441	27431	3599
442	27477	3535
443	27525	3471
444	27582	3409
445	27680	3351
446	27755	3290
447	27805	3227
448	27861	3164
449	27920	3102
450	27992	3041
451	28055	2979
452	28110	2916
453	28148	2852
454	28193	2788
455	28236	2724
456	28275	2660
457	28313	2596
458	28376	2534
459	28463	2475
460	28554	2415
461	28620	2354
462	28703	2293
463	28757	2231
464	28824	2169
465	28911	2109
466	29029	2051
467	29144	1992
468	29204	1930
469	29270	1868
470	29312	1804
471	29351	1741
472	29392	1677
473	29444	1615
474	29502	1552
475	29544	1489
476	29593	1426
477	29644	1364
478	29688	1301
479	29751	1239
480	29810	1177
