track_name,artist_name,spotify_id,isrc,features
Professional,The Weeknd,5ZicFGBDAi9J2YCVesboUp,USUM71310341,
Vampiro,Matuê,6bTdZ7xfKp3NqqADJ8HLyj,BXW922100034,
Heartbeat,Childish Gambino,5AGQSF0ytihJyt96K5vW9d,USYAH1100351,
When I’m Home,James Blake,5nigMKgXqeNvaiqEBWwo9s,USQ4E2600373,
Both (feat. Drake),Gucci Mane,5tFep7dXGd7vEJ668wTPux,USAT21603373,
Stay Ready (What a Life),Jhené Aiko,5nkUIVKqOqdpB6ApKgEMkv,USUM71312344,
Jungle,Drake,7JXZq0JgG2zTrSOAgY8VMC,USCM51500037,"{'data': {'isrc': 'USCM51500037', 'title': 'Jungle', 'artist': 'Drake', 'features': {'bpm': 99.9, 'key': 'G', 'key_confidence': 0.8082623, 'energy': 0.7131235, 'danceability': 0.4471175, 'valence': None, 'acousticness': None, 'loudness': -10.9, 'instrumentalness': None, 'speechiness': 0.4068, 'liveness': None, 'time_signature': 4}, 'analysis_version': '1.2', 'source': 'essentia'}, 'meta': {'quota': {'used': 0, 'limit': None, 'resets_at': '2026-09-12T19:52:20.291Z'}, 'request_id': 'req_431c6082a1cb'}}"
Novacane,Frank Ocean,4osgfFTICMkcGbbigdsa53,USUM71107257,
The Zone,The Weeknd,53qYItjefG5SUf62428dIw,USUM72111952,
Lose You,Drake,2Na0z2gfN67Rzf0vp74Wi3,USCM51700071,
Redemption,Drake,4cRBqWBjuccCowYVHFlXK6,USCM51600072,
Jungle,Tash Sultana,1KTObLMW9mwk2iPjP3daHb,AUBEC1601210,"{'data': {'isrc': 'AUBEC1601210', 'title': 'Jungle', 'artist': 'Tash Sultana', 'features': {'bpm': 146.2, 'key': 'E', 'key_confidence': 0.9568397, 'energy': 0.7166102, 'danceability': 0.3482704, 'valence': None, 'acousticness': None, 'loudness': -11.8, 'instrumentalness': None, 'speechiness': 0.727, 'liveness': None, 'time_signature': 4}, 'analysis_version': '1.2', 'source': 'essentia'}, 'meta': {'quota': {'used': 0, 'limit': None, 'resets_at': '2026-09-12T19:52:20.291Z'}, 'request_id': 'req_6e6a8b3b23a8'}}"
Hide U (Tinlicker Remix),Kosheen,5Xjaq6oqOcPd4NkTL7ITMR,NLF712102759,
